indicator,year,value,unit,geography
Reused textiles,2021,1.7,kg/person/year,EU27
GHG emissions from textile consumption supply chain,2022,355.0,kg CO2e/person/year,EU27
Household textile waste capture rate,2022,15.0,%,EU27
Primary raw material use for textiles consumption,2022,523.0,kg/person/year,EU27
Separate-collected textile waste sent to landfill/incineration,2022,26.0,%,EU27
Synthetic share in industrial textiles,2022,57.0,%,EU27
Textile consumption,2022,19.0,kg/person/year,EU27
Textile waste generation,2022,16.0,kg/person/year,EU27
Used textile exports,2025,1.44,million tonnes/year,EU
