indicator,year,value,unit,geography,source,source_url,missing_flag,source_verified
Textile consumption,2022,19.0,kg/person/year,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/consumption-of-clothing-footwear-and-household-textiles-per-person,False,True
Textile waste generation,2022,16.0,kg/person/year,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/textile-waste-generation-per-person-in-the-eu-per-year,False,True
Household textile waste capture rate,2022,15.0,%,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/capture-rate-for-waste-textiles-and-shoes-in-the-eu,False,True
Separate-collected textile waste sent to landfill/incineration,2022,26.0,%,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/share-of-textile-waste-sent-to-incineration-or-landfill-in-the-eu,False,True
Primary raw material use for textiles consumption,2022,523.0,kg/person/year,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/raw-material-use-for-eus-textiles-consumption,False,True
GHG emissions from textile consumption supply chain,2022,355.0,kg CO2e/person/year,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/greenhouse-gas-emissions-from-eus-textiles-consumption,False,True
Synthetic share in industrial textiles,2022,57.0,%,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles,False,True
Reused textiles,2021,1.7,kg/person/year,EU27,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles,False,True
Used textile exports,2025,1.44,million tonnes/year,EU,EEA,https://www.eea.europa.eu/en/circularity/sectoral-modules/textiles/eu-export-of-used-textiles,False,True
